amount,currency_from,currency_to,exchange_timestamp
100000, USD, EUR, 2023-11-20 09:30:00
500, GBP, USD, 2023-11-21 14:45:00
1500, EUR, GBP, 2023-11-22 11:20:00
120000, USD, EUR, 2023-10-05 08:00:00
800000, GBP, USD, 2023-10-15 12:30:00
2000000, EUR, GBP, 2023-10-25 16:00:00
900000, USD, EUR, 2023-10-02 10:15:00
700, GBP, USD, 2023-10-12 18:45:00
1800, EUR, GBP, 2023-10-29 09:00:00
1100, USD, EUR, 2023-10-08 07:20:00
1600, GBP, USD, 2023-10-18 13:00:00
2500, EUR, GBP, 2023-10-27 19:30:00
1300, USD, EUR, 2023-10-04 14:00:00
900, GBP, USD, 2023-10-14 20:45:00
2200, EUR, GBP, 2023-10-24 11:10:00
400, USD, EUR, 2023-10-01 15:30:00
1000, GBP, USD, 2023-10-11 09:00:00
2300, EUR, GBP, 2023-10-21 16:00:00
1500, USD, EUR, 2023-10-07 10:30:00
800, GBP, USD, 2023-10-17 17:00:00
2400, EUR, GBP, 2023-10-27 08:15:00
1600, USD, EUR, 2023-10-03 12:45:00
1100, GBP, USD, 2023-10-13 19:20:00
2500, EUR, GBP, 2023-10-23 09:45:00
1700, USD, EUR, 2023-10-06 14:10:00
1200, GBP, USD, 2023-10-16 20:30:00
2600, EUR, GBP, 2023-10-26 11:00:00
1800, USD, EUR, 2023-10-02 15:30:00
1300, GBP, USD, 2023-10-12 21:00:00
2700, EUR, GBP, 2023-10-22 12:15:00
